,user,attacktype,attacker,sensors,nfeatures,solver,cval,penalty,far,frr,hter,refhter
112587,User42,dict-effort,I5_slength_longer,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112588,User42,dict-effort,I5_slength_normal,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.55,0.13725490196078433,0.34362745098039216,0.1613547237076649
112589,User42,dict-effort,I5_slength_short,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.75,0.13725490196078433,0.44362745098039214,0.1613547237076649
112590,User42,dict-effort,I5_speed1_4,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.9523809523809523,0.13725490196078433,0.5448179271708683,0.1613547237076649
112591,User42,dict-effort,I5_speed1_6,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112592,User42,dict-effort,I5_speed1_8,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.55,0.13725490196078433,0.34362745098039216,0.1613547237076649
112593,User42,dict-effort,I5_speed2_0,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.65,0.13725490196078433,0.3936274509803922,0.1613547237076649
112594,User42,dict-effort,I5_speed2_2,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.8888888888888888,0.13725490196078433,0.5130718954248366,0.1613547237076649
112595,User42,dict-effort,I5_speed2_4,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.8235294117647058,0.13725490196078433,0.48039215686274506,0.1613547237076649
112596,User42,dict-effort,I5_speed2_6,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.75,0.13725490196078433,0.44362745098039214,0.1613547237076649
112597,User42,dict-effort,I5_speed2_8,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112598,User42,dict-effort,I5_speed3_0,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.375,0.13725490196078433,0.25612745098039214,0.1613547237076649
112599,User42,dict-effort,I5_swidth_close,"('Mag', 'RVec')",30,newton-cg,0.5,l2,1.0,0.13725490196078433,0.5686274509803921,0.1613547237076649
112600,User42,dict-effort,I5_swidth_normal,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.55,0.13725490196078433,0.34362745098039216,0.1613547237076649
112601,User42,dict-effort,I5_swidth_wide,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.15789473684210525,0.13725490196078433,0.1475748194014448,0.1613547237076649
112602,User42,dict-effort,I5_swidth_wider,"('Mag', 'RVec')",30,newton-cg,0.5,l2,0.16666666666666666,0.13725490196078433,0.1519607843137255,0.1613547237076649
