,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
137858,User52,dict-effort,I6_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.13333333333333333,0.05063291139240506,0.0919831223628692,0.05077100115074799
137859,User52,dict-effort,I6_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137860,User52,dict-effort,I6_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137861,User52,dict-effort,I6_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0625,0.05063291139240506,0.05656645569620253,0.05077100115074799
137862,User52,dict-effort,I7_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137863,User52,dict-effort,I7_slength_longer,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137864,User52,dict-effort,I7_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137865,User52,dict-effort,I7_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137866,User52,dict-effort,I7_speed1_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.15789473684210525,0.05063291139240506,0.10426382411725515,0.05077100115074799
137867,User52,dict-effort,I7_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.8888888888888888,0.05063291139240506,0.469760900140647,0.05077100115074799
137868,User52,dict-effort,I7_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.23529411764705882,0.05063291139240506,0.14296351451973194,0.05077100115074799
137869,User52,dict-effort,I7_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.125,0.05063291139240506,0.08781645569620253,0.05077100115074799
137870,User52,dict-effort,I7_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137871,User52,dict-effort,I7_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137872,User52,dict-effort,I7_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137873,User52,dict-effort,I7_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
